transliteration,translation
mušēzibtu I,"1. in ša mušēzibti ""shield-bearer"" NA2. ""life-belt""? NB"
muššakku I,"""incense"" O/jB used by dream-interpreter, as opiate ?"
muššuru I,mng. unkn. Am.
muṣallu I,NA for cf. maṣallu or muṣlālu ?
muṣrû I,"""Egyptian"" jB lex."
mâṣu I,"""to churn, make butter""? O/jB G"
mêš I,"""where?"" jB"
mā'u I,"~ ""ruler""? jB"
mā'u II,"""excrement"" jB lex."
māhītu I,"""whip"" OB, M/NA"
māpalum I,nan
mātu II,"m. ~ ""sacred precinct""? O/jB"
mēsū I,"pl. tant. ""cult, rites"" M/NB"
mētā I,"""a hundred times"" OA"
mīru IV,mng. unkn. jB lex.
mīšu II,"""night"" Am."
mūnu II,"""larva, caterpillar"" jB, NA [ZA.NA]"
na'eltu I,mng. unkn. jB lex.
na'ru I,nan
na- I,"as nominal prefix cf. GAG §56b, c, h"
nababtu I,mng. unkn. jB lex.
nadušu I,"~ ""scion, offspring"" jB"
nadû IV,"D ""to cast s.o. out, expel"" Am."
nadāšu I,mng. unkn. OB lex.
nagalmušu I,"~ ""lofty, exalted""? jB lex."
nagapu I,"1. O/jB ""sheaf, bundle""2. Mari mng. unkn."
nagāru II,"G NA mng. unkn. D ""to denounce"" O/jB"
naharbušu I,"""to freeze"" intrans.? jB Ntn iter."
naharšušu I,"N ~ ""to collapse"" jB Š caus."
nahhu I,"~ ""rent"" NB for garden, house"
nahû I,mng. unkn. Am.
nakkuru I,mng. unkn. OA
nalmu I,"~ ""foundation"" jB lex."
namašiatu I,mng. unkn. OB
nambūbtu I,"""wasp"" jB"
namdālu I,"""millipede"" jB lex."
namgiṣṣu I,mng. unkn. jB
namkattu I,mng. unkn. Mari
namundu I,mng. unkn. jB lex.
namšarratu I,mng. unkn. Am.
namšāru I,"""stomach"" jB lex."
napkapu I,mng. unkn. NB
nappahānu I,mng. unkn. jB
nappu'u I,? mng. unkn. OA
nappulu I,nan
napādu II,"""to separate, cut off"" O/jB lex. G D"
napāru I,mng. unkn. Elam G Š
napṭiru I,jB/NA error for ipṭiru ?
nardamu I,"jB 1. ""mooring pole""2. lex. ""track, footpath"""
naturru I,"~ ""chisel""? jB lex."
nazūzu I,"""canebrake"" jB lex."
našrapūtu I,mng. unkn. OB lex.
našru I,"""eagle"" jB lex."
našuma I,mng. unkn. Qatna
našāhu I,"""to have diarrhoea"" O/jB G"
naṣpadu I,"""floating rib"" of a sheep jB"
naṣīru I,"""clamour, wailing"" Bab."
naṭbahu I,"1. OA ""butcher's knife""2. jB lex. ""chopping block"""
nehsu I,"~ ""inlay"" NA in precious metal"
nehû II,mng. unkn. Bab. G
nelbītu I,mng. unkn. Bogh. lex.
nemašu I,"""tree""? jB lex."
nenzu I,mng. unkn. NA desig. of copper
nepātu I,"""meadow, outskirts""? jB lex."
nešbû II,"""putrid""? Ug., jB mag., of blood"
nešû I,"""to vomit""? O/jB lex. G D ~ G"
nibatu I,mng. unkn. jB lex.
nibṣu I,"~ ""young bird, fledgling"" j/NB"
nidû I,mng. unkn. OB ext.
nigarruru I,mng. unkn. jB lex.
nihītu I,mng. unkn. OB of lion
nikaru I,"~ ""outsider"" Emar"
nimšulu I,"pl. f. ""fish spawn""? jB lex."
nimšū I,"pl. tant. ""sinews"" O/jB of sheep"
ningibit I,mng. unkn. OB lex.
ninnigu I,mng. unkn. OB lex.
niplu I,"""shoot, sapling"" O/jB"
nipru I,"""scion, offspring"" M/jB"
niqīqu I,"""copulation"" jB lex."
niringu I,mng. unkn. OB lex.
nirit I,"~ ""because"" NA"
nirātu I,mng. unkn. MB
nisapti I,mng. unkn. Nuzi
nitru I,"""nitre, sodium"" jB, NA"
nitû I,mng. unkn. jB lex.
nišru I,"1. OA ""instalment""2. Bab. ""deduction""3. NA ""stone block""?"
niššikūtu I,"""rank of the god Ea"" jB [dNIN.ŠI.KÙ- ]"
nubālu I,"""carriage, vehicle"" OB, Mari, Alal. [GIŠ.GIGIR]"
nubātu I,mng. unkn. OB
nuhar I,"""high temple, ziggurrat"" j/NB"
nuhhuṣu I,"D ""to shake""? jB lex."
nuhhuṭu I,"D ~ ""to hiccup""? jB"
numātu I,"sg. ""movable goods, possessions"" OB"
numītu I,"~ ""pasturage""? NB"
nuppu'u I,D mng. unkn. OA
nurimdu I,"""pomegranate"" Am."
nurētu I,mng. unkn. NB astr.
nutia[...] I,"~ ""first, principal"" jB lex."
nuttulu I,mng. unkn. jB lex.
nuttû II,"D ""to tear apart""? Mari"
nuššubu I,D mng. unkn. OB
nâ'u I,"~ ""to belch""? jB lex. G"
nâku I,"""to browse on""? jB G of elephants"
nêtu II,"""to chop""? jB lex."
nābi'u II,"""plunderer"" jB, of city, land"
nāhu I,"""pig's fat, lard"" OAkk, OA, O/jB [Ì.ŠAH]"
nākisu I,"1. NA, NB ""butcher""2. NA ""woodcutter"""
nāru III,"mng. unkn. OA?, OB in PN"
nāṣu I,"""plumage, feathers"" jB"
nēmeqūtu I,nan
nēṣu I,"""strong""? jB, NA"
nību II,"""small piece""? M/jB of precious metals"
nīqu II,"""copulation"" jB lex."
nīru III,"""prayer"" jB lex."
nīṣu I,mng. unkn. jB med.
padattu I,"~ ""form, frame"" Bab. of human physique"
paddi'u I,"""unfortunate person""? O/jB"
padûtu I,mng. uncl. NB
pagû II,"~ ""to slander, lie""? O/jB G lex."
pagūgu I,mng. unkn. jB lex.
pahhulu I,mng. uncl. NB
pahnu I,"~ ""substitute""? MA"
pahuru I,mng. unkn. Nuzi
pahānum I,nan
pahārūtu I,nan
paihu I,"~ ""clear"" Nuzi, of plot of ground"
palādu II,mng. unkn. jB
pannaru I,"""brush""? OA, OB, for animals"
paqāyu I,"""mat-weaver"" M/NB"
paragu I,mng. unkn. OB
paraktu I,"""sail""? OB"
parastāmu I,nan
parattu I,"~ ""dry land"" jB lex."
paraštinnu I,mng. unkn. jB lex.
parhu I,"mng. unkn. MB, desig. of roofing ?"
parišhu I,mng. unkn. Ug.
parmusānu I,"~ ""bridegroom""? jB"
parāmu I,"""to shred"" NA N of shoes"
parāsu II,"Dt ""to spread out"" NB of troops"
parīdu I,"mng. unkn. NB, a commodity"
paršu I,"""excrement"" O/jB of animals"
pasku I,"mng. uncl. MB, desig. of leather"
patīru I,"""sack"" O/jB of leather"
pašarānu I,mng. uncl. jB om.
pašidu I,mng. unkn. jB lex.
paštatu I,mng. uncl. OAkk
pašīšūtu I,"""rôle of pašīšu priest"" O/jB"
paššiššu I,"""apprentice""? Nuzi, of gardener"
pehlu I,mng. unkn. Mari
pehūnu I,"""incompetent builder, jerry-builder""? jB lex."
penzuru I,mng. unkn. O/jB lex.
pesû I,"~ ""to rejoice"" jB lex. G"
pikallullu I,"""aperture in oven"" jB lex."
pikarsinnu I,"mng. unkn. Nuzi, in desig. of gold vessel"
pilahā'u I,mng. unkn. Nuzi
pillu I,mng. unkn. jB lex.
pilāyānu I,pl. mng. unkn. OB
pinnanāru I,mng. unkn. jB lex.
pinnartu I,"""rennet cheese""? jB lex."
pipilû I,"""sin"" jB lex."
piriku I,"""chatterer"" OB lex."
pirsānu I,mng. unkn. O/jB lex.
pispisu I,"""bug""? NA"
pitaha I,"mng. unkn. Nuzi, flour for p."
pitinkak I,"~ ""glove""? Am., as pair"
pittu II,mng. unkn. jB comm.
piyāmu I,"~ ""strong"" jB lex."
pišanna I,"mng. uncl. Nuzi, ša p. desig. of men"
pišaru I,mng. unkn. OB lex.
pišittu I,mng. unkn. jB lex.
piṣīru I,"mng. unkn. OB lex., jB om."
puhdinu I,"mng. unkn. Mari, of gold"
puhmahu I,"""blind-worm""? jB lex."
puhpuhu I,"""purslane"" jB, NA lex., med."
pukkuru I,"D ""to fetter, tie up"" j/NB hands, person"
purrušu I,"mng. uncl. jB lex., desig. of meat"
purrû I,"adj. mng. unkn. Bogh., jB lex."
purrû II,D mng. unkn. OAkk
pus'u I,"""heavy perspirer""? OB lex."
pusmu I,"""sleeve"" jB lex."
pušhatti I,"""like a rat?"" jB"
pušikku I,"""carded wool"" Bab., OA [SÍK.GA.RÍG.AK.A]"
puṣuddu I,"""mongoose""? jB lex."
pâru II,D jB stat. mng. uncl.
pênu I,"""to grind"" Nuzi, jB G flour"
pāhu I,"""sleeve""? jB lex."
pālītu I,"""garment from Pala"" OA"
pāmu I,"mng. unkn. jB lex., syn. of noise ?"
pāniš I,"1. jB ""in front""2. OA ""in advance"""
pāru I,"""hymn"" O/jB, to deity"
pūdu I,"pl. f. mng. unkn. O/jB, desig. of sheep"
pūtu II,"""opening"" NA in pūt upni ""prayer bowl"""
qa'ālu I,"~ ""to gather""? Mari, troops"
qablu III,"""plantation"" of trees NA [MÚRU]"
qabūtu I,"NA pl. qabuāti ""bowl"" NA, NB for liquids"
qadaruttu I,? mng. uncl. NA
qadurtu I,mng. unkn. NA
qallu II,"""forest"" Am., jB"
qalmu I,"""small"" jB lex."
qalālu II,"NA Nt attaqallalla ""I hang down"""
qamhurû I,"""palm pith"" or ""bud"" jB lex."
qarbāte I,"pl. mng. uncl. NA, with pron. suff."
qardamu I,"""enemy, adversary"" jB"
qattītu I,mng. unkn. Bab. lex.
qenû I,"""to be jealous"" jB G"
qerbiš I,"O/jB 1. ""nearby, close at hand""2. ""instantly, forthwith"""
qinniš I,"""backwards"" NA"
qitbulu I,"Gt ""to engage in combat"" Ug."
qitmu I,"""black paste"" O/jB [IM.SAHAR.GE6.KUR.RA]"
qubatu I,"mng. unkn. MB, NA"
qubbulu I,"D 1. NB ""to accept"""
qubbutu I,D mng. unkn. jB lex.
qullutu I,D mng. unkn. jB lex.
qulpu I,"""rind, bark""? jB, NA"
qummušu I,D mng. unkn. jB lex.
qunnabru I,"""fetters"" jB"
qunnupu I,D mng. unkn. jB lex.
qušartu I,mng. unkn. MA
qāli I,mng. unkn. MA
qālu I,"~ ""thick""? jB lex."
ra'i I,"~ ""definitely, without question""? O/jB lex."
ra'āzu I,"~ ""to inlay""? jB lex. G with carnelian"
rab-banûtu I,nan
rabaha I,nan
rabiya I,nan
rabtat I,nan
ragābu I,"""to be afraid"" Am. G"
rahṣu I,"1. jB ext. ""submerged""2. jB ""washed down""?"
rakāku I,"mng. unkn. jB G stat., of temple"
rakānu I,mng. unkn. O/jB lex. G
ramkūtu I,"""post of ramku priest"" jB"
ramāṣu I,"""to enclose, mount""? Bogh., jB G lex. only"
raqqatu II,"""river-flats"" j/NB of land beside river"
ratāmu I,"""to whisper""? jB G lex. only"
raziqātu I,"~ ""garden plants""? jB lex."
raṣû I,"Š OB ~ ""to give"" house ""in payment""?"
rebîš I,"1. jB ""fourthly""2. NB ""four times"""
rekmu I,"mng. unkn. jB, epith. of weapon"
ri'mu I,"jB lex., W.Sem. for rīmu I"
rigāmu I,"mng. unkn. NA, unit of measure for vegetables"
rimmatu I,"~ ""maggot""? OB cf. e"
riphu I,"""swelling"" O/jB, as complaint of sheep, patient"
ripsu II,"""vapour, haze"" NA"
ritpāhu I,"""two-handed"" OB lex"
ru''umu I,"~ ""to strike off"" jB D Anzû's 'hands'"
ruhhupu I,mng. unkn. jB D process applied to malt
ruppuhu I,"adj. mng. unkn. OB lex., of hand"
ruttuhu I,D mng. unkn. jB lex.
rutû I,"mng. uncl. Mari, in pl."
rētu I,"~ ""strength"" jB lex."
rību V,"""square"" Bogh. lex., for rebītu"
rīṭu I,mng. unkn. jB lex.
rūšiš I,mng. uncl. jB comm.
sabību I,mng. unkn. OB as PN
sagû II,"""menstrual towel""? jB"
sahsahhātu I,mng. unkn. OB lex.
sahānu I,"jB G mng. unkn. D ""to draw"" dagger"
sahāšu I,"""to catch in a net"" jB lex. G"
salhūtu I,mng. uncert. OB
salṭiš I,mng. unkn. jB astr.
sammatu I,"mng. unkn. jB, an animal ?"
sammūtu I,"""fragrance""? jB, of cedars"
samnu II,"""oath"" jB"
samānâ I,"* ""eighty"" not attested in syll. wr."
samānēšeret I,"* ""eighteen"" not attested in syll. wr."
sanbuku I,"~ ""bunch, spray"" NA, of fruit"
sapnu I,"""paw"" jB, of lion"
sapān I,nan
sar'u I,mng. unkn. jB med.
sarbu I,"""tallow, fat"" jB lex."
sarkupu I,"~ ""reed marsh"" OAkk, jB lex."
sarmānu I,"pl. or du.? ~ ""hands, handles"" j/NB lex."
sarqatu I,"""abomasum with duodenum""? O/jB lex., ext."
sarruru I,"D ""to pray to, worship"" NA Dtn iter."
sarû I,"~ ""early, in advance""? OA"
sassaptu I,"""eyelashes, eyebrow""? jB lex."
sawû I,"~ ""desert"" OB"
sekû I,"""deaf"" jB lex."
serpu I,"""shearing knife"" NB of iron"
serēdu I,"""to make a bandage"" jB [LÁ]"
sesseru I,"""young child"" O/jB"
si'šu I,"""canal in spate""? jB"
silhu I,nan
siliqu I,mng. unkn. jB lex.
sillurmû I,"""night/day blindness"" jB"
simhu I,mng. unkn. jB
simmatānû I,mng. unkn. NA of horses
simānû I,"""born in the month S."" MB, NA PN"
sindakku I,mng. unkn. jB
sinnu II,"~ ""withdrawal""? jB, NA"
sinnurbû I,"? ~ ""weak-sighted person""? O/jB lex."
sinnūru I,"""weak sight""? Bogh."
sinsû I,mng. unkn. jB lex.
sinūnu I,"""'swallow-fish'"" O/jB [SIM.KU6]"
sipru I,"~ ""debris""? j/NB"
siruribu I,"mng. unkn. MA, desig. of garments"
sissimtu I,? mng. unkn. OB lex.
sissiru II,"""child"" jB lex."
sissu I,"~ ""ulcer, abscess"" jB lex."
sitmātu I,mng. unkn. jB lex.
su'eššu I,"~ ""tiny""? jB lex."
su'ītu I,"""from land of Su""? OB epith. of Ištar"
subbusu II,"D ""to call together, assemble"" NB, troops"
suddû I,"""one-sixth of a shekel"" NB [6- ]"
sugagātu I,pl. mng. unkn. jB om. in apodoses
suhattu I,nan
suhirrahhu I,mng. unkn. jB lex.
suhumbi I,mng. unkn. jB in nahlaptu s.
suhummu I,mng. unkn. M/jB
sullulu I,mng. uncl. O/jB of house
sullunu II,"D ""to make plentiful"" jB lex."
summu II,"""moment, time""? jB lex."
sumukku I,mng. unkn. jB lex.
sunguru I,mng. unkn. jB
supurgilu I,"""quince"" M/NA, jB [GIŠ.HAŠHUR.KUR.RA]"
surrû I,"D ""to check, confirm"" OA, OB"
surumu I,"""bowels""? O/jB"
susapinnu I,"""best man"" M/jB, accompanying bridegroom"
susbûtu I,"""rôle of s. priest"" OB"
sussānu I,mng. unkn. OB lex.
suššu I,mng. unkn. NB
sâlu I,mng. unkn. jB N of eyes
sâṭu I,mng. unkn. jB lex. G
sāqu I,"""thigh"" OAkk?, jB"
sēdu I,"~ ""red""? OB lex."
sīlu II,mng. unkn. jB lex.
tabbatu I,mng. unkn. jB
tabbānu I,mng. unkn. jB lex.
tabāqu I,"~ ""greenery, vegetation"" jB lex."
tagītu I,mng. unkn. OB
tahbīšu I,"mng. unkn. MB, also Early Mari ?"
tahsāti I,"pl. ~ ""ambush""? NA"
tahû III,"~ ""side""? j/NB, tahê ""beside""? as prep."
takaltu I,"""trust"" Bogh. lex. for cf. tukultu"
takašu I,mng. unkn. jB lex.
takkussatta I,"""like a reed-stem"" jB"
takulû I,"~ ""suffering""? jB rdg. uncert."
takuru I,mng. unkn. jB lex.
takṣītu I,nan
tal'ašu I,"""grain pest, weevil"" jB"
talīmātu I,"~ ""help""? jB lex."
tamarzu I,mng. unkn. NA
tambukku I,"""cucumber fly"" M/jB [NIM.ÚKUŠ]"
tammu I,mng. uncl. jB lex.
tamqullu I,"""flame""? jB lex."
tamrītu I,mng. unkn. Bab. lex. phps. textual errors
tamû III,"""to be amazed""? OB stat. tamu"
tamāmu I,mng. unkn. OB lex.
tanīšu I,mng. unkn. MB
tanūku I,"pl. f. mng. unkn. jB, NA"
tapû I,mng. unkn. jB lex.
taqrību I,O/jB occas. for taqribtu
tarammu I,"""grain heap"" M/jB, NA [ŠE.SU7]"
tarbûtu I,"Bab. 1. ""novice"" [Á.È]2. ""shoot, seedling""3. ""adoptive childhood"""
targagû I,"""oath"" jB lex."
targumannu I,"""interpreter, dragoman"" Ass., O/jB"
tarmuš I,"""lupin"" M/jB lex., med."
tarpašu I,"""otter"" M/jB"
tarsītu I,"""prayer"" Bab. lex."
tartu I,mng. unkn. NB in PNs
tarānu I,"""roof, shelter"" Bab., also transf."
tarāšu I,mng. unkn. OB G
tarṣiātu I,"~ ""pleasure, enjoyment"" OB"
taskarinnu I,"""box tree, boxwood"" [GIŠ.TASKARIN]"
teldātu I,mng. unkn. OB lex.
temdu I,mng. unkn. OB lex.
tenīšu I,Bogh. for tenēštu
terhatu I,"""bride payment"" OAkk, O/jB, MA [Alal. NÍG.MUNUS.ÚS.A/SÁ]"
tetentu I,"""island""? jB lex."
tetēlu I,"mng. unkn. Mari, in basket of t."
ti'iltu I,mng. unkn. jB lex.
tibû I,mng. unkn. OB lex.
tidirtu I,mng. unkn. OB
tintu I,jB lex. = tittu or tindû ?
tišša'e I,mng. unkn. Nuzi in abul t.
tublu I,"~ ""foundation trench"" jB"
tubuqqu I,mng. unkn. jB comm.
tuddû I,"D ""to make known, acknowledge"" NB stat."
tugāgu I,"~ ""animals, animal life"" jB lex."
tugānû I,"~ ""spray, bunch"" of fruit NA"
tugāru I,"""deposited material, deposition""? O/jB"
tuhallu I,"pl. m. & f. ""palm-leaf basket"" Bab., MA"
tuharu I,"mng. unkn. OB, desig. of carnelian ?"
tuhhanzunu I,mng. unkn. Nuzi
tullugu I,mng. unkn. j/NB lex.
tulluku I,D mng. unkn. OB lex.
tullulu I,"D ""to harness, equip"" jB, NA"
tullumu I,D mng. unkn. OB lex.
tultu I,"""cistern"" jB lex. also NA, mng. uncert."
tumbû I,mng. unkn. NB
tumšā[...] I,mng. unkn. jB lex.
tuppahhurāti I,mng. unkn. Nuzi in eqel t.
tuppu I,"""mark on skin, mole"" jB, Susa"
tuptu I,"""footstool""? O/jB"
tupšikkānu I,"in ṣāb tupšikkānim ""earth-moving troops"" Mari"
turaqu I,mng. unkn. jB comm.
turbalû I,"""bare ground"" jB lex., comm."
turunnu I,"""hen, cock""? Bogh. lex."
turzu I,"""butterfly"" jB lex."
turānu I,"""bearded man""? jB lex."
tutumšu I,mng. unkn. jB lex.
tuzzinnum I,nan
tā'u I,"""inner room"" OAkk, OB esp. term.-adv. tā'iš"
tādīru I,~ tādirtu Bogh.
tāhu I,"""interior""? jB lex."
tēṣētu I,"""quarrel, contest"" jB"
tī'u I,"""fig"" Qatna, jB"
tū'a I,"""spider"" jB lex."
tūma I,mng. unkn. jB lex.
tūmulu I,"~ ""advantage""? NA"
ublu I,nan
ublītu I,nan
uddû II,"~ ""exuberance"" jB lex."
uggulu I,"mng. unkn. jB, of reed-thicket"
ugu II,"""power, strength"" jB lex."
ugummu I,mng. unkn. Bab.
uhummiš I,"""like a cliff"" j/NB"
uhīru I,"""weed"" jB, in desig. of cucumber"
ukaduhha I,nan
ulgirītu I,mng. unkn. jB mag.
uliltu I,"""dried fig"" j/NB [GIŠ.PÈŠ.HÁD.A]"
ulumīmu I,nan
uninātu I,"mng. uncl. OB, NA"
unnatu I,"~ ""land"" jB"
upellû I,"Bab. 1. ""charcoal""2. ""charcoal-burner"" [Ú.BIL]"
uppulu II,"D ""to delouse"" O/jB lex."
ur'udu I,"""windpipe, throat"" Bab. [UZU.GÚ.MUR] of human, animal, bird"
urballu I,"""quail""? jB [ŠEN.ŠEN.BAL.MUŠEN]"
urmazillu I,"""tree-stump""? OB"
urnatu II,"~ ""strong, manly"" jB lex."
urpatu II,"""bedroom"" O/jB"
urruṣu I,mng. unkn. M/jB lex.
urrû II,mng. uncl. jB lex.
urrāku I,"""sculptor"" jB lex."
ursunu I,"~ ""warrior"" jB lex."
ursû I,mng. unkn. jB lex.
urubātu II,"pl. tant. ~ ""lamentation"" Mari, jB"
urummu I,mng. unkn. jB lex.
urutu I,"~ ""observation""? NB ref. to military surveillance"
urû V,"pl. tant. ""aromatics"" jB lex., coll. term"
ussudu I,mng. unkn. Dt jB
ussû I,nan
usuktu I,"~ ""side-piece"" of furniture ? MA"
usāru I,subst. mng. unkn. NA
uttulu I,mng. unkn. jB lex.
uzuru I,"mng. uncl. Nuzi, desig. of horse"
uzzuqu I,"~ ""sling-stone""? jB lex."
ušallû I,"""of the river-flats"" jB lex., of trees"
ušaštu I,"""bird's nest"" O/jB"
ušeštu I,mng. uncl. OB lex.
ušmadû I,"~ ""side-plank"" of a boat ? jB lex."
ušummu I,"~ ""dormouse"" Bab. [PÉŠ.GIŠ.GI] eaten, offered"
ušuā'u I,mng. unkn. OAkk
uṣāru I,"""animal pen"" OAkk, OB in PlN"
uṭba I,nan
uṭublum I,nan
wa I,"""and"" OA occas. for u"
wartum I,nan
waruhhu I,cf. wuruh[hu]
wazzunu I,"D ""to listen, give ear"" OA"
wašranna I,mng. unkn. Alal.
waštena I,"Hurr. pl. mng. unkn. Alal., desig. of birds"
wašā'u I,"~ ""to need""? OA, jB lex."
wašāmu I,mng. unkn. OB lex.
wu''û I,"D ""to falsify""? OB tablet, sealing"
wušru I,mng. unkn. Am.
yahudû I,"""simple, daft"" O/jB"
yamattu I,"""each, any one"" M/NA"
yannussu I,mng. unkn. NA
yarhu I,"""pond, pool"" M/NA, jB"
yarhu II,adj. mng. uncl. OB
yašpû I,"""jasper"" M/NB, NA"
yā'u I,"""my, mine"""
zabardabbūtu I,"""post of zabardabbu"" Bab."
zakukītu I,"""glaze, glass"" Mari, jB"
zalhu I,"""gold"" Nuzi, jB lex."
zamru I,nan
zamītu I,mng. unkn. jB lex.
zaqqipu I,mng. unkn. OB as PN
zaqzaqu I,mng. unkn. OB as PN
zarinnu I,"~ ""coarsely cleaned material"" O/jB of bronze, wool"
zarriqūtu I,"~ ""iridescence"" j/NB"
zerhu I,"""sunrise"" jB lex."
zibānu I,"""Libra"" NB [MUL.GIŠ.ÉRIN]"
zillānu I,"""small"" jB lex."
zilullîš I,"""like a vagrant"" jB"
zilullûtu I,"""condition of vagrant"" jB lex."
zimmatu I,"""lamentation"" OB lex., var. of dimmatu, zinnatu"
ziqdu I,mng. unkn. Mari
ziqittu I,"~ ""young cattle"" jB"
ziqqatātu I,mng. unkn. NB family name
ziqtu II,in ša ziqātim mng. unkn. OB lex.
zirua I,mng. unkn. Nuzi
zirâ I,mng. unkn. j/NB comm.
zizzu I,"""hiss"" O/jB of snake, bird"
zunnuqu I,mng. unkn. jB lex.
zunu I,in aban z. mng. unkn. jB
zuqû I,mng. unkn. NB
zuzû I,mng. unkn. jB comm.
zāratu I,"""tent, awning"" M/NA, M/NB"
zību I,"""food offering"" O/jB, NA"
zību II,"jB 1. ""jackal""2. ""vulture"" [NU.UM.MA.MUŠEN]"
zīzu III,"""teat"" NA"
zūku II,"""infantry"" NA esp. z. šēpē"
zūzu II,"""gold"" jB lex."
âlu I,"~ ""to cut""? jB lex."
Āl-šarrāki I,nan
Ānu-bānīni I,nan
āgilu I,"? ""towman"" of boat O/jB lex."
ār I,"~ ""forest"" jB lex."
āru II,"""warrior"" jB lex."
ē I,cf. ai I
īlu II,"""reed bundle"" M/jB"
īnu II,"""wine"" jB lex."
īru I,"~ ""strong"" jB lex."
Ša-Adad-anenu I,nan
Ša-Anu-iššu I,nan
Ša-Aššur-anenu I,nan
Ša-Aššur-dubbu I,nan
Ša-Birtaya I,nan
Ša-Issar-dubbu I,nan
Ša-Issar-šunu I,nan
Ša-Kurbilayu I,nan
Ša-Nabu-šu I,nan
Ša-ili-dubbu I,nan
Ša-ili-tazzaz I,nan
Ša-iṣṣur-Adad I,nan
Ša-la-Belet-mannu I,nan
Ša-la-ili-mannu I,nan
Ša-la-maše I,nan
Ša-pi-Anu I,nan
Ša-pi-Bel I,nan
Ša-qala-tuaršu I,nan
Ša-Ṣillaya I,nan
Šabaṭu I,nan
Šabbu I,nan
Šabgal I,nan
Šabhanu I,nan
Šabhanu II,nan
Šabirešu I,nan
Šabsir I,nan
Šada I,nan
Šaddaru I,nan
Šadditu I,nan
Šadikannaya I,nan
Šadikanni I,nan
Šadiskannaya I,nan
Šadunni I,nan
Šadâna I,nan
Šagadula I,nan
Šaganlalukarkara I,nan
Šagepada I,nan
Šagim I,nan
Šagkušukalama I,nan
Šahan I,nan
Šahillaya I,nan
Šahu I,nan
Šahuppa I,nan
Šakil-Aya I,nan
Šakin-šumi I,nan
Šakkan I,nan
Šala I,nan
Šalamu I,nan
Šalaš I,nan
Šallim-kenu I,nan
Šallimanni-Aššur I,nan
Šalti-ilani I,nan
Šamaš I,nan
Šamaš-ab-uṣur I,nan
Šamaš-abu-uṣur I,nan
Šamaš-abuʾa I,nan
Šamaš-ah-iddin I,nan
Šamaš-ahhe-iddin I,nan
Šamaš-ahhe-šallim I,nan
Šamaš-ahu-iddina I,nan
Šamaš-ahu-uṣur I,nan
Šamaš-apla-uṣur I,nan
Šamaš-aplu-iddina I,nan
Šamaš-ayali I,nan
Šamaš-ballissu I,nan
Šamaš-balliṭanni I,nan
Šamaš-bani-apli I,nan
Šamaš-banuʾa I,nan
Šamaš-belu-uṣur I,nan
Šamaš-bunaya I,nan
Šamaš-dala I,nan
Šamaš-dari I,nan
Šamaš-daʾʾinanni I,nan
Šamaš-edu-lešir I,nan
Šamaš-emuranni I,nan
Šamaš-ereš I,nan
Šamaš-eriba I,nan
Šamaš-eṭir I,nan
Šamaš-haṣib I,nan
Šamaš-ibni I,nan
Šamaš-iddin I,nan
Šamaš-iddina I,nan
Šamaš-ilaʾi I,nan
Šamaš-ili I,nan
Šamaš-immi I,nan
Šamaš-iqbi I,nan
Šamaš-iqiša I,nan
Šamaš-iqišanni I,nan
Šamaš-isseʾa I,nan
Šamaš-ittannu I,nan
Šamaš-išmanni I,nan
Šamaš-kašid-ayabi I,nan
Šamaš-kaṣir I,nan
Šamaš-kenu-balliṭ I,nan
Šamaš-kenu-dugul I,nan
Šamaš-kenu-uṣur I,nan
Šamaš-kettu-iddina I,nan
Šamaš-killanni I,nan
Šamaš-kumuʾa I,nan
Šamaš-leʾi I,nan
Šamaš-metu-uballiṭ I,nan
Šamaš-mudammiq I,nan
Šamaš-mukin-apli I,nan
Šamaš-nadin-ahi I,nan
Šamaš-nadin-apli I,nan
Šamaš-nammir I,nan
Šamaš-naplis I,nan
Šamaš-naʾdi I,nan
Šamaš-naṣir I,nan
Šamaš-naṣir II,nan
Šamaš-nuri I,nan
Šamaš-perʾu-uṣur I,nan
Šamaš-raʾim-ketti I,nan
Šamaš-remanni I,nan
Šamaš-reʾuwa I,nan
Šamaš-reʾušunu I,nan
Šamaš-reʾuʾa I,nan
Šamaš-riqa I,nan
Šamaš-ruqaya I,nan
Šamaš-tabni-uṣur I,nan
Šamaš-taklak I,nan
Šamaš-uballiṭ I,nan
Šamaš-ukin I,nan
Šamaš-upahhir I,nan
Šamaš-yadaʾ I,nan
Šamaš-zer-ibni I,nan
Šamaš-zer-iqiša I,nan
Šamaš-zer-lišir I,nan
Šamaš-zer-ukin I,nan
Šamaš-zeru-iqiša I,nan
Šamaš-zeru-uṣur I,nan
Šamaš-šallim I,nan
Šamaš-šallim-ahhe I,nan
Šamaš-šarrani I,nan
Šamaš-šarru-ibni I,nan
Šamaš-šarru-uṣur I,nan
Šamaš-šezib I,nan
Šamaš-šum-iddin I,nan
Šamaš-šum-iddin II,nan
Šamaš-šum-ukin I,nan
Šamaš-šum-ukin II,nan
Šamaš-šumu-iddina I,nan
Šamaš-šumu-ukin I,nan
Šamaš-šumu-uṣur I,nan
Šamašaya I,nan
Šamaʾ I,nan
Šamaʾgunu I,nan
Šamaʾunu I,nan
Šame-tabani I,nan
Šamhat I,nan
Šammu-uballiṭ I,nan
Šamsi-uṣur I,nan
Šamšanni-ilu I,nan
Šamši-Adad I,nan
Šamši-ilu I,nan
